질문,답변
지방세를 내려면 어떻게 해야됩니까?,이용하시는 은행의 사이트에서 지방세 납부가 가능합니다.
은행 어플에서도 됩니까?,어떤 은행을 이용하고 계십니까?
기업은행을 이용하고 있습니다.,그럼 스마트폰에서 기업은행 어플을 설치하시면 납부가 가능합니다.
은행을 직접방문해도 됩니까?,방문납부도 가능합니다.
은행위치 좀 알 수 있습니까?,어느지점으로 안내해드릴까요?
서울역근처로 안내 부탁합니다.,도보로 10분위치에 서울역지점이 있습니다.
버스로 가는 방법도 있습니까?,도보로 가시는게 빠를 것 같습니다.
다른 납부방법도 있습니까?,위택스 사이트에서 납부하실수 있습니다.
사이트 주소가 어떻게 됩니까?,www.wetax.go.kr 입니다.
다른곳에서는 납부할수 없습니까?,이용하시는 은행의 사이트에서도 지방세 납부가 가능합니다.
지방세는 조회할 수 있습니까?,간단한 본인확인 후 안내해드리겠습니다.
알겠습니다.,지금 전화거신 핸드폰이 본인명의 맞습니까?
맞습니다.,생년월일을 말씀해주시겠습니까?
OO월OO일 입니다.,살고계신 주소는 어디입니까?
서울특별시 00구 00동입니다.,상세주소도 말해주시겠습니까?
OO아파트 OO동 OO호입니다.,본인확인이 되셨습니다.
알겠습니다.,지방세는 22만원으로 조회됩니다.
어떻게 납부합니까?,온라인으로는 위택스나 은행 홈페이지에서 가능합니다.
사이트 주소가 어떻게 됩니까?,OOOO.OOO.go.kr 입니다.
은행 어플에서도 됩니까?,
서울시주최 페스티벌 예매해놨는데 예정대로 진행됩니까?,현재로썬 진행될 예정입니다. 
코로나로 다른 축제들은 취소됐는데 이건 취소 안됩니까?,"네, 철저한 방역수칙하에 진행할 예정입니다. "
그래도 무서워서 사람 많은 곳에 못가겠습니다. ,
,
,
,
,
,
,
,
청년저축계좌 지금 신청할 수 있습니까?,죄송하지만 이미 신청기간이 지났습니다. 
그럼 다른 정책은 없습니까?,희망두배 청년통장은 신청하실수 있습니다. 
그건 뭡니까?,청년저축계좌랑 비슷한 정책입니다. 
서울시민 대상입니까?,네 맞습니다. 
자세한 설명 부탁드립니다. ,2~3년간 꾸준히 저축하는 서울청년 대상 본인 저축액 100%를 서울시 예산으로 추가 적립해주는 통장입니다.
얼마를 추가 적립해줍니까?,저축액을 두 배로 적립해줍니다. 
모집인원은 어떻게 됩니까?,총 3천명입니다.
신청기간은 언제까지입니까?,이번달 24일까지 신청기간이니 서둘러 신청해주세요.
네 주소지가 서울이면 되는겁니까?,네 서울거주자이시면서 만 18세~34세 이하의 청년 대상입니다. 
네 알겠습니다. 감사합니다. ,네 감사합니다.
청년저축계좌 신청하려합니다.,네 신청요건 확인해보셨습니까?
네 90년 생이고 서울에 살고있습니다. ,
,
,매달 얼마씩 저축하실겁니까?
10만원씩 하겠습니다. ,"네, 매월 몇일 입금하시겠습니까?"
20일로 하겠습니다 ,
,
,
,
,
신혼부부 전세대출 문의하려합니다,네 무엇을 도와드리면 되겠습니까?
저희가 작년에 결혼했는데 신혼부부 조건이 맞습니까?,네 결혼 7년 이내 부부는 신혼부부에 해당합니다. 
대출 상품이 뭐가 있습니까?,임대차 보증금 지원사업과 버팀목 전세자금 대출이 있습니다. 
어떤 은행에서 받을 수 있습니까?,"하나은행, 국민, 신한은행을 통해서 받으실 수 있습니다. "
버팀목 대출 받으려면 조건이 있습니까?,두분 합산 연소득이 9천 7백만원 이하셔야 합니다. 
네 9천 이하입니다. ,
,
,
,
,
신혼부부 버팀목 전세대출 받고싶습니다. ,네 무엇을 도와드리면 되겠습니까?
제가 부동산 통해서 집을 몇개 봤는데 버팀목이 안된다는 집도 있다고 합니다. ,네 버팀목 전세 지원받으시려면 가능한 주택이 따로 있습니다. 
그럼 그 한정된 곳에서 집을 찾아야합니까?,네. 하지만 해당안하는 집이 매우 한정적이라 큰 제한은 아닐겁니다. 
네 알겠습니다. ,
,
,
,
,
,
,
연말정산 문의하려합니다. ,네 무엇을 도와드리면 되겠습니까?
5월에 퇴사 했는데 연말정산 해야합니까?,네 대상자이십니다. 
제가 혼자서는 안해봤는데 혼자 해야합니가?,네 국세청 홈페이지에서 간편하게 안내해드리니까 어려움 없이 하실 수 있습니다. 
제가 준비해야할 것은 없습니까?,전년도 고용보험 납입 내역 준비하셔야 합니다
그건 어디서 확인할 수 있습니까?,전 직장에 요청하시면 됩니다.
안좋게 나왔는데 다른방법은 없습니까?,"있습니다. 근로복지공단에서 조회, 확인 가능합니다. "
그리고 국세청에서 신청하면 됩니까?,네 맞습니다. 
공인인증서 필요합니까?,없으시면 회원가입 하시면 됩니다. 
그럼 공인인증서 없어도 되는겁니까?,네 없으시면 휴대폰 인증 하시면됩니다.. 
,
연말정산 문의합니다. ,네 어떤것을 도와드리면 되겠습니까?
연말정산 환급 언제됩니까?,매년 2월에 정산해드립니다. 
제가 올해 안경을 구입했는데 환급됩니까?,네 의료비로 구분되어 소득공제 됩니다. 
이것도 간소화 서비스로 확인됩니까?,이 부분은 직접 입력해주셔야 합니다. 
직접 해야됩니까?,네. 누락항목에 대해서는 확인하시고 직접 입력해주셔야 합니다.
신용카드 내역은 어떻게 됩니까?,신용카드 내역은 자동으로 카드사에서 넘어오기때문에 입력 안하셔도 됩니다. 
이번에 문화비 소득공제도 추가되었다던데 맞습니까?,"네 올해부터 박물관, 미술관 입장료 문화비도 소득공제에 추가되었습니다."
얼마나 환급받을 수 있습니까?,연간 100만원 한도 내에서 결제 금액의 30%를 공제해줍니다. 
최대 100만원까지입니까?,네 맞습니다. 
월세 공제도 받을 수 있습니까?,월세금액의 10% 세액공제 받을 수 있습니다.
운전면허증을 분실했습니다.,분실신고 하셨습니까?
아직입니다. 어떻게 신고합니까?,먼저 경찰서 방문하셔서 분실신고를 해주시면 됩니다. 
챙겨가야할 거 있습니까?,신분증 지참하셔야 합니다. 
재발급은 어떻게 받습니까?,운전면허 시험장 가셔서 재발급 서류 작성하시면 됩니다. 
수수료는 얼마입니까?,"수수료는 7,500원 입니다. "
재발급 받는데 얼마나 걸립니까?,보통 30분내외로 가능합니다. 
분실신고도 운전면허 시험장에서 해도 됩니까?,네 가능합니다. 
혹시 영문으로 운전면허증 발급도 됩니까?,네 19년 부터 영문 면허증 발급도 가능합니다. 
그럼 국제운전면허증 따로 발급 안해도됩니까?,일부 국가에서는 별도 국제운전면허증 없이도 사용 가능합니다. 
어느 국가인지 어디서 확인합니까?,경찰청 사이트에서 확인가능합니다. 
보건증 무인발급기로 출력할 수 있습니까?,보건증은 모든 보건소에서 지원하는게 아니라서 검사받은 보건소 확인이 필요합니다. 
서울에는 어디서 가능합니까?,"서울은 강남구, 도봉구 관내 보건소에서 받으신 경우 관내 무인발급기를 통해서 발급 가능합니다. 또 인터넷으로도 발급가능합니다."
인터넷으로는 어떻게 발급합니까?,먼저 건강진단은 받으셨습니까?
작년에 받은거 있습니다.,1년 이내에 받으신거 맞습니까?
아뇨 작년 1월에 받았습니다. ,보건증 유효기간은 발급일로부터 1년이내라 다시 받으셔야 합니다. 
